date,stage,match,selection,decimal_odds,market_probability,model_probability,value_gap,signal,risk_label,confidence_score,kelly_stake_pct,bankroll_note,quality_label
2026-06-20,FIFA World Cup,Germany vs Ivory Coast,Germany,1.55,0.6452,0.5139,-0.1312,NO BET,LOW RISK,0.3827,0.0,No bet suggested.,NO_BET
2026-06-28,FIFA World Cup,Algeria vs Austria,Austria,2.16,0.463,0.4365,-0.0264,NO BET,MEDIUM RISK,0.3801,0.0,No bet suggested.,NO_BET
2026-06-17,FIFA World Cup,Portugal vs DR Congo,Portugal,1.27,0.7874,0.5835,-0.2039,NO BET,LOW RISK,0.3796,0.0,No bet suggested.,NO_BET
2026-06-18,FIFA World Cup,Canada vs Qatar,Qatar,10.07,0.0993,0.2883,0.189,NO BET,VERY HIGH RISK,0.3773,0.0525,No bet suggested.,NO_BET
2026-06-27,FIFA World Cup,Colombia vs Portugal,Portugal,2.14,0.4673,0.4365,-0.0307,NO BET,MEDIUM RISK,0.3758,0.0,No bet suggested.,NO_BET
2026-06-16,FIFA World Cup,Iraq vs Norway,Iraq,13.5,0.0741,0.2734,0.1993,NO BET,VERY HIGH RISK,0.3726,0.0538,No bet suggested.,NO_BET
2026-06-22,FIFA World Cup,France vs Iraq,France,1.12,0.8929,0.6306,-0.2623,NO BET,LOW RISK,0.3683,0.0,No bet suggested.,NO_BET
2026-06-20,FIFA World Cup,Brazil vs Haiti,Brazil,1.07,0.9346,0.6487,-0.2859,NO BET,LOW RISK,0.3628,0.0,No bet suggested.,NO_BET
2026-06-18,FIFA World Cup,Uzbekistan vs Colombia,Colombia,1.4,0.7143,0.5382,-0.1761,NO BET,LOW RISK,0.3621,0.0,No bet suggested.,NO_BET
2026-06-16,FIFA World Cup,France vs Senegal,France,1.46,0.6849,0.5221,-0.1628,NO BET,LOW RISK,0.3593,0.0,No bet suggested.,NO_BET
2026-06-24,FIFA World Cup,Colombia vs DR Congo,Colombia,1.46,0.6849,0.5221,-0.1628,NO BET,LOW RISK,0.3593,0.0,No bet suggested.,NO_BET
2026-06-27,FIFA World Cup,Croatia vs Ghana,Croatia,1.66,0.6024,0.4803,-0.1221,NO BET,LOW RISK,0.3581,0.0,No bet suggested.,NO_BET
2026-06-27,FIFA World Cup,DR Congo vs Uzbekistan,Uzbekistan,3.16,0.3165,0.3496,0.0332,NO BET,MEDIUM RISK,0.3528,0.0121,No bet suggested.,NO_BET
2026-06-11,FIFA World Cup,Mexico vs South Africa,Mexico,1.4,0.7143,0.5302,-0.1841,NO BET,LOW RISK,0.3461,0.0,No bet suggested.,NO_BET
2026-06-14,FIFA World Cup,Netherlands vs Japan,Netherlands,2.01,0.4975,0.4365,-0.061,NO BET,MEDIUM RISK,0.3456,0.0,No bet suggested.,NO_BET
2026-06-17,FIFA World Cup,Ghana vs Panama,Ghana,2.06,0.4854,0.4276,-0.0578,NO BET,MEDIUM RISK,0.3399,0.0,No bet suggested.,NO_BET
2026-06-14,FIFA World Cup,Ivory Coast vs Ecuador,Ecuador,2.41,0.4149,0.3919,-0.0231,NO BET,MEDIUM RISK,0.3388,0.0,No bet suggested.,NO_BET
2026-06-15,FIFA World Cup,Belgium vs Egypt,Belgium,1.65,0.6061,0.4716,-0.1344,NO BET,LOW RISK,0.3372,0.0,No bet suggested.,NO_BET
2026-06-14,FIFA World Cup,Germany vs Curaçao,Germany,1.04,0.9615,0.6487,-0.3128,NO BET,LOW RISK,0.3359,0.0,No bet suggested.,NO_BET
2026-06-15,FIFA World Cup,Spain vs Cape Verde,Spain,1.08,0.9259,0.6306,-0.2954,NO BET,LOW RISK,0.3352,0.0,No bet suggested.,NO_BET
2026-06-23,FIFA World Cup,England vs Ghana,England,1.31,0.7634,0.546,-0.2173,NO BET,LOW RISK,0.3287,0.0,No bet suggested.,NO_BET
2026-06-24,FIFA World Cup,Switzerland vs Canada,Switzerland,2.08,0.4808,0.4187,-0.062,NO BET,MEDIUM RISK,0.3267,0.0,No bet suggested.,NO_BET
2026-06-17,FIFA World Cup,Austria vs Jordan,Austria,1.32,0.7576,0.5382,-0.2194,NO BET,LOW RISK,0.3188,0.0,No bet suggested.,NO_BET
2026-06-18,FIFA World Cup,Switzerland vs Bosnia & Herzegovina,Switzerland,1.59,0.6289,0.4716,-0.1573,NO BET,LOW RISK,0.3144,0.0,No bet suggested.,NO_BET
2026-06-13,FIFA World Cup,Qatar vs Switzerland,Qatar,13.04,0.0767,0.2443,0.1677,NO BET,VERY HIGH RISK,0.312,0.0454,No bet suggested.,NO_BET
2026-06-27,FIFA World Cup,DR Congo vs Uzbekistan,DR Congo,2.34,0.4274,0.3829,-0.0445,NO BET,MEDIUM RISK,0.3084,0.0,No bet suggested.,NO_BET
2026-06-21,FIFA World Cup,Belgium vs Iran,Iran,7.95,0.1258,0.266,0.1402,NO BET,VERY HIGH RISK,0.3062,0.0401,No bet suggested.,NO_BET
2026-06-13,FIFA World Cup,USA vs Paraguay,USA,1.97,0.5076,0.4187,-0.0889,NO BET,MEDIUM RISK,0.2998,0.0,No bet suggested.,NO_BET
2026-06-24,FIFA World Cup,Switzerland vs Canada,Canada,3.57,0.2801,0.3188,0.0387,NO BET,HIGH RISK,0.2974,0.0134,No bet suggested.,NO_BET
2026-06-26,FIFA World Cup,Senegal vs Iraq,Senegal,1.43,0.6993,0.4973,-0.202,NO BET,LOW RISK,0.2953,0.0,No bet suggested.,NO_BET
2026-06-14,FIFA World Cup,Germany vs Curaçao,Draw,17.7,0.0565,0.225,0.1685,NO BET,VERY HIGH RISK,0.2935,0.0446,No bet suggested.,NO_BET
2026-06-19,FIFA World Cup,Mexico vs South Korea,Mexico,1.81,0.5525,0.4365,-0.1159,NO BET,MEDIUM RISK,0.2906,0.0,No bet suggested.,NO_BET
2026-06-23,FIFA World Cup,Jordan vs Algeria,Jordan,6.26,0.1597,0.2734,0.1136,NO BET,VERY HIGH RISK,0.287,0.0338,No bet suggested.,NO_BET
2026-06-17,FIFA World Cup,Ghana vs Panama,Panama,3.63,0.2755,0.3111,0.0356,NO BET,HIGH RISK,0.2867,0.0123,No bet suggested.,NO_BET
2026-06-15,FIFA World Cup,Sweden vs Tunisia,Sweden,1.92,0.5208,0.4187,-0.1021,NO BET,MEDIUM RISK,0.2866,0.0,No bet suggested.,NO_BET
2026-06-21,FIFA World Cup,Spain vs Saudi Arabia,Spain,1.1,0.9091,0.5976,-0.3115,NO BET,LOW RISK,0.2862,0.0,No bet suggested.,NO_BET
2026-06-23,FIFA World Cup,Jordan vs Algeria,Algeria,1.52,0.6579,0.4716,-0.1862,NO BET,LOW RISK,0.2854,0.0,No bet suggested.,NO_BET
2026-06-14,FIFA World Cup,Haiti vs Scotland,Scotland,1.55,0.6452,0.463,-0.1822,NO BET,LOW RISK,0.2807,0.0,No bet suggested.,NO_BET
2026-06-12,FIFA World Cup,South Korea vs Czech Republic,South Korea,2.64,0.3788,0.3419,-0.0369,NO BET,MEDIUM RISK,0.275,0.0,No bet suggested.,NO_BET
