match_id,date,stage,team_a,team_b,selection,decimal_odds,implied_probability,model_probability,value_gap,kelly_stake_pct,signal,risk_label,confidence_score,quality_label
46,2026-06-23,FIFA World Cup,England,Ghana,England,1.31,0.7634,0.546,-0.2173,0.0,NO BET,LOW RISK,0.3287,NO_BET
50,2026-06-24,FIFA World Cup,Switzerland,Canada,Switzerland,2.08,0.4808,0.4187,-0.062,0.0,NO BET,MEDIUM RISK,0.3267,NO_BET
20,2026-06-17,FIFA World Cup,Austria,Jordan,Austria,1.32,0.7576,0.5382,-0.2194,0.0,NO BET,LOW RISK,0.3188,NO_BET
26,2026-06-18,FIFA World Cup,Switzerland,Bosnia & Herzegovina,Switzerland,1.59,0.6289,0.4716,-0.1573,0.0,NO BET,LOW RISK,0.3144,NO_BET
5,2026-06-13,FIFA World Cup,Qatar,Switzerland,Qatar,13.04,0.0767,0.2443,0.1677,0.0454,NO BET,VERY HIGH RISK,0.312,NO_BET
70,2026-06-27,FIFA World Cup,DR Congo,Uzbekistan,DR Congo,2.34,0.4274,0.3829,-0.0445,0.0,NO BET,MEDIUM RISK,0.3084,NO_BET
38,2026-06-21,FIFA World Cup,Belgium,Iran,Iran,7.95,0.1258,0.266,0.1402,0.0401,NO BET,VERY HIGH RISK,0.3062,NO_BET
4,2026-06-13,FIFA World Cup,USA,Paraguay,USA,1.97,0.5076,0.4187,-0.0889,0.0,NO BET,MEDIUM RISK,0.2998,NO_BET
50,2026-06-24,FIFA World Cup,Switzerland,Canada,Canada,3.57,0.2801,0.3188,0.0387,0.0134,NO BET,HIGH RISK,0.2974,NO_BET
62,2026-06-26,FIFA World Cup,Senegal,Iraq,Senegal,1.43,0.6993,0.4973,-0.202,0.0,NO BET,LOW RISK,0.2953,NO_BET
9,2026-06-14,FIFA World Cup,Germany,Curaçao,Draw,17.7,0.0565,0.225,0.1685,0.0446,NO BET,VERY HIGH RISK,0.2935,NO_BET
28,2026-06-19,FIFA World Cup,Mexico,South Korea,Mexico,1.81,0.5525,0.4365,-0.1159,0.0,NO BET,MEDIUM RISK,0.2906,NO_BET
44,2026-06-23,FIFA World Cup,Jordan,Algeria,Jordan,6.26,0.1597,0.2734,0.1136,0.0338,NO BET,VERY HIGH RISK,0.287,NO_BET
23,2026-06-17,FIFA World Cup,Ghana,Panama,Panama,3.63,0.2755,0.3111,0.0356,0.0123,NO BET,HIGH RISK,0.2867,NO_BET
12,2026-06-15,FIFA World Cup,Sweden,Tunisia,Sweden,1.92,0.5208,0.4187,-0.1021,0.0,NO BET,MEDIUM RISK,0.2866,NO_BET
37,2026-06-21,FIFA World Cup,Spain,Saudi Arabia,Spain,1.1,0.9091,0.5976,-0.3115,0.0,NO BET,LOW RISK,0.2862,NO_BET
44,2026-06-23,FIFA World Cup,Jordan,Algeria,Algeria,1.52,0.6579,0.4716,-0.1862,0.0,NO BET,LOW RISK,0.2854,NO_BET
7,2026-06-14,FIFA World Cup,Haiti,Scotland,Scotland,1.55,0.6452,0.463,-0.1822,0.0,NO BET,LOW RISK,0.2807,NO_BET
2,2026-06-12,FIFA World Cup,South Korea,Czech Republic,South Korea,2.64,0.3788,0.3419,-0.0369,0.0,NO BET,MEDIUM RISK,0.275,NO_BET
35,2026-06-21,FIFA World Cup,Ecuador,Curaçao,Ecuador,1.2,0.8333,0.5538,-0.2796,0.0,NO BET,LOW RISK,0.2742,NO_BET
66,2026-06-27,FIFA World Cup,Egypt,Iran,Egypt,2.25,0.4444,0.3739,-0.0705,0.0,NO BET,MEDIUM RISK,0.2734,NO_BET
62,2026-06-26,FIFA World Cup,Senegal,Iraq,Iraq,7.61,0.1314,0.2515,0.1201,0.0346,NO BET,VERY HIGH RISK,0.2715,NO_BET
71,2026-06-28,FIFA World Cup,Algeria,Austria,Algeria,3.62,0.2762,0.3035,0.0272,0.0094,NO BET,HIGH RISK,0.2707,NO_BET
10,2026-06-14,FIFA World Cup,Netherlands,Japan,Japan,3.6,0.2778,0.3035,0.0257,0.0089,NO BET,HIGH RISK,0.2691,NO_BET
55,2026-06-25,FIFA World Cup,Curaçao,Ivory Coast,Curaçao,12.67,0.0789,0.2235,0.1446,0.0393,NO BET,VERY HIGH RISK,0.2682,NO_BET
13,2026-06-15,FIFA World Cup,Spain,Cape Verde,Draw,10.87,0.092,0.2288,0.1368,0.0377,NO BET,VERY HIGH RISK,0.2655,NO_BET
31,2026-06-20,FIFA World Cup,Brazil,Haiti,Draw,11.79,0.0848,0.225,0.1402,0.0383,NO BET,VERY HIGH RISK,0.2652,NO_BET
37,2026-06-21,FIFA World Cup,Spain,Saudi Arabia,Draw,9.49,0.1054,0.235,0.1296,0.0362,NO BET,VERY HIGH RISK,0.2646,NO_BET
18,2026-06-16,FIFA World Cup,Iraq,Norway,Draw,6.81,0.1468,0.255,0.1082,0.0317,NO BET,VERY HIGH RISK,0.2632,NO_BET
